"","date","temperature","humidity","wind_speed","visibility","rosee","solar","pluie","neige","Seasons","Holiday","Functioning.Day","n"
"1",2017-12-01,-2.45416666666667,45.875,1.5375,1870.75,-13.5458333333333,0.24875,0,0,"Winter","No Holiday","Yes",9587
"2",2017-12-02,NA,61.9583333333333,1.7125,1471.08333333333,-5.71666666666667,0.26375,0,0,"Winter","No Holiday","Yes",8571
"3",2017-12-03,4.875,NA,1.6125,455.75,NA,0.125416666666667,0.166666666666667,0,"Winter","No Holiday","Yes",7270
"4",2017-12-04,-0.304166666666667,52.5,3.45,1362.83333333333,NA,NA,0.00416666666666667,0,"Winter","No Holiday","Yes",8777
"5",2017-12-05,-4.45833333333333,36.4166666666667,1.10833333333333,NA,-17.425,NA,0,0,"Winter","No Holiday","Yes",8355
"6",2017-12-06,0.0458333333333333,NA,NA,1186.875,-5.1875,NA,NA,NA,"Winter","No Holiday","Yes",6717
"7",2017-12-07,1.09166666666667,NA,1.69166666666667,949.416666666667,-5.0125,0.24375,0,0.433333333333333,"Winter","No Holiday","Yes",8597
"8",2017-12-08,-3.825,41.75,1.85,1872.20833333333,-15.3666666666667,0.287083333333333,0,0,"Winter","No Holiday","Yes",8080
"9",2017-12-09,-0.845833333333333,46,1.07916666666667,1860.95833333333,-11.2333333333333,0.263333333333333,0,0,"Winter","No Holiday","Yes",7281
"10",2017-12-10,NA,69.7083333333333,2.00416666666667,1043.04166666667,NA,0.0866666666666667,0.170833333333333,1.35416666666667,"Winter","No Holiday","Yes",3501
"11",2017-12-11,-6.26666666666667,39.375,3.60833333333333,1991.16666666667,-17.9833333333333,0.292083333333333,NA,0,"Winter","No Holiday","Yes",5896
"12",2017-12-12,-9.46666666666667,42.7916666666667,2.03333333333333,1966.79166666667,-19.9375,0.283333333333333,0,0,"Winter","No Holiday","Yes",5544
"13",2017-12-13,NA,41.1666666666667,1.7875,1954.125,-19.8791666666667,NA,0,0,"Winter","No Holiday","Yes",6067
"14",2017-12-14,NA,42.5416666666667,0.8875,1617.16666666667,NA,0.154166666666667,0,NA,"Winter","No Holiday","Yes",6446
"15",2017-12-15,-3.27916666666667,50.4583333333333,0.983333333333333,1000.20833333333,-12.325,0.100416666666667,0,0,"Winter","No Holiday","Yes",7246
