Date_Hour	Date	Seasons	Holiday	Functioning.Day
2018-03-10T00:00:00.000Z	2018-03-10	Spring	No Holiday	Yes
2018-03-11T00:00:00.000Z	2018-03-11	Spring	No Holiday	Yes
2018-03-12T00:00:00.000Z	2018-03-12	Spring	No Holiday	Yes
2018-03-13T00:00:00.000Z	2018-03-13	Spring	No Holiday	Yes
2018-03-14T00:00:00.000Z	2018-03-14	Spring	No Holiday	Yes
2018-03-15T00:00:00.000Z	2018-03-15	Spring	No Holiday	Yes
2018-03-16T00:00:00.000Z	2018-03-16	Spring	No Holiday	Yes
2018-03-17T00:00:00.000Z	2018-03-17	Spring	No Holiday	Yes
2018-03-18T00:00:00.000Z	2018-03-18	Spring	No Holiday	Yes
2018-03-19T00:00:00.000Z	2018-03-19	Spring	No Holiday	Yes
2017-12-10T00:00:00.000Z	2017-12-10	Winter		Yes
2018-03-20T00:00:00.000Z	2018-03-20	Spring	No Holiday	Yes
2018-03-21T00:00:00.000Z	2018-03-21	Spring	No Holiday	Yes
2018-03-22T00:00:00.000Z	2018-03-22	Spring	No Holiday	Yes
2018-03-24T00:00:00.000Z	2018-03-24	Spring	No Holiday	Yes
2018-03-25T00:00:00.000Z	2018-03-25	Spring	No Holiday	Yes
2018-03-26T00:00:00.000Z	2018-03-26	Spring		Yes
2018-03-28T00:00:00.000Z	2018-03-28	Spring	No Holiday	Yes
2018-03-29T00:00:00.000Z	2018-03-29	Spring	No Holiday	Yes
2017-12-11T00:00:00.000Z	2017-12-11	Winter	No Holiday	Yes
2018-03-30T00:00:00.000Z	2018-03-30	Spring	No Holiday	Yes
2018-03-31T00:00:00.000Z	2018-03-31	Spring	No Holiday	Yes
2018-04-01T00:00:00.000Z	2018-04-01	Spring	No Holiday	Yes
2018-04-02T00:00:00.000Z	2018-04-02	Spring	No Holiday	Yes
2018-04-03T00:00:00.000Z	2018-04-03	Spring	No Holiday	Yes
2018-04-04T00:00:00.000Z	2018-04-04	Spring	No Holiday	Yes
2018-04-05T00:00:00.000Z	2018-04-05	Spring	No Holiday	Yes
2018-04-06T00:00:00.000Z	2018-04-06	Spring	No Holiday	Yes
2018-04-07T00:00:00.000Z	2018-04-07	Spring	No Holiday	Yes
2018-04-08T00:00:00.000Z	2018-04-08	Spring	No Holiday	Yes
2017-12-12T00:00:00.000Z	2017-12-12	Winter	No Holiday	Yes
2018-04-09T00:00:00.000Z	2018-04-09	Spring	No Holiday	Yes
2018-04-10T00:00:00.000Z	2018-04-10	Spring	No Holiday	Yes
2018-04-11T00:00:00.000Z	2018-04-11	Spring		No
2018-04-12T00:00:00.000Z	2018-04-12	Spring	No Holiday	Yes
2018-04-13T00:00:00.000Z	2018-04-13	Spring	No Holiday	Yes
2018-04-14T00:00:00.000Z	2018-04-14	Spring	No Holiday	Yes
2018-04-15T00:00:00.000Z	2018-04-15	Spring	No Holiday	Yes
2018-04-16T00:00:00.000Z	2018-04-16	Spring	No Holiday	Yes
2018-04-17T00:00:00.000Z	2018-04-17	Spring	No Holiday	Yes
2018-04-18T00:00:00.000Z	2018-04-18	Spring	No Holiday	Yes
2017-12-13T00:00:00.000Z	2017-12-13	Winter	No Holiday	Yes
2018-04-19T00:00:00.000Z	2018-04-19	Spring	No Holiday	Yes
2018-04-20T00:00:00.000Z	2018-04-20	Spring	No Holiday	Yes
2018-04-21T00:00:00.000Z	2018-04-21	Spring	No Holiday	Yes
2018-04-22T00:00:00.000Z	2018-04-22	Spring	No Holiday	Yes
2018-04-23T00:00:00.000Z	2018-04-23	Spring	No Holiday	Yes
2018-04-24T00:00:00.000Z	2018-04-24	Spring	No Holiday	Yes
2018-04-25T00:00:00.000Z	2018-04-25	Spring	No Holiday	Yes
2018-04-26T00:00:00.000Z	2018-04-26	Spring	No Holiday	Yes
2018-04-27T00:00:00.000Z	2018-04-27	Spring	No Holiday	Yes
2018-04-28T00:00:00.000Z	2018-04-28	Spring	No Holiday	Yes
2017-12-14T00:00:00.000Z	2017-12-14	Winter	No Holiday	Yes
2018-04-29T00:00:00.000Z	2018-04-29	Spring	No Holiday	Yes
2018-04-30T00:00:00.000Z	2018-04-30	Spring	No Holiday	Yes
2018-05-01T00:00:00.000Z	2018-05-01	Spring	Holiday	Yes
2018-05-02T00:00:00.000Z	2018-05-02	Spring	No Holiday	Yes
2018-05-03T00:00:00.000Z	2018-05-03	Spring	No Holiday	Yes
2018-05-04T00:00:00.000Z	2018-05-04	Spring	No Holiday	Yes
2018-05-05T00:00:00.000Z	2018-05-05	Spring	No Holiday	Yes
2018-05-06T00:00:00.000Z	2018-05-06	Spring	No Holiday	Yes
2018-05-07T00:00:00.000Z	2018-05-07	Spring	No Holiday	Yes
2018-05-08T00:00:00.000Z	2018-05-08		No Holiday	
